id;x;y;phi;v
a1;0;50;1.56838;1.5
o1;19.8643;1049.8;0;0
o2;21.3855;248.853;0;0
o3;-54.7135;446.24;0;0
o4;22.3862;649.582;0;0
a1;0;50;1.56838;1.5
